Date,SP500
2015-01-02,2058.199951171875
2015-01-05,2020.5799560546875
2015-01-06,2002.6099853515625
2015-01-07,2025.9000244140625
2015-01-08,2062.139892578125
2015-01-09,2044.81005859375
2015-01-12,2028.260009765625
2015-01-13,2023.030029296875
2015-01-14,2011.27001953125
2015-01-15,1992.6700439453125
2015-01-16,2019.4200439453125
2015-01-20,2022.550048828125
2015-01-21,2032.1199951171875
2015-01-22,2063.14990234375
2015-01-23,2051.820068359375
2015-01-26,2057.090087890625
2015-01-27,2029.550048828125
2015-01-28,2002.1600341796875
2015-01-29,2021.25
2015-01-30,1994.989990234375
2015-02-02,2020.8499755859375
2015-02-03,2050.030029296875
2015-02-04,2041.510009765625
2015-02-05,2062.52001953125
2015-02-06,2055.469970703125
2015-02-09,2046.739990234375
2015-02-10,2068.590087890625
2015-02-11,2068.530029296875
2015-02-12,2088.47998046875
2015-02-13,2096.989990234375
2015-02-17,2100.340087890625
2015-02-18,2099.679931640625
2015-02-19,2097.449951171875
2015-02-20,2110.300048828125
2015-02-23,2109.659912109375
2015-02-24,2115.47998046875
2015-02-25,2113.860107421875
2015-02-26,2110.739990234375
2015-02-27,2104.5
2015-03-02,2117.389892578125
2015-03-03,2107.780029296875
2015-03-04,2098.530029296875
2015-03-05,2101.0400390625
2015-03-06,2071.260009765625
2015-03-09,2079.429931640625
2015-03-10,2044.1600341796875
2015-03-11,2040.239990234375
2015-03-12,2065.949951171875
2015-03-13,2053.39990234375
2015-03-16,2081.18994140625
2015-03-17,2074.280029296875
2015-03-18,2099.5
2015-03-19,2089.27001953125
2015-03-20,2108.10009765625
2015-03-23,2104.419921875
2015-03-24,2091.5
2015-03-25,2061.050048828125
2015-03-26,2056.14990234375
2015-03-27,2061.02001953125
2015-03-30,2086.239990234375
2015-03-31,2067.889892578125
2015-04-01,2059.68994140625
2015-04-02,2066.9599609375
2015-04-06,2080.6201171875
2015-04-07,2076.330078125
2015-04-08,2081.89990234375
2015-04-09,2091.179931640625
2015-04-10,2102.06005859375
2015-04-13,2092.429931640625
2015-04-14,2095.840087890625
2015-04-15,2106.6298828125
2015-04-16,2104.989990234375
2015-04-17,2081.179931640625
2015-04-20,2100.39990234375
2015-04-21,2097.2900390625
2015-04-22,2107.9599609375
2015-04-23,2112.929931640625
2015-04-24,2117.68994140625
2015-04-27,2108.919921875
2015-04-28,2114.760009765625
2015-04-29,2106.85009765625
2015-04-30,2085.510009765625
2015-05-01,2108.2900390625
2015-05-04,2114.489990234375
2015-05-05,2089.4599609375
2015-05-06,2080.14990234375
2015-05-07,2088.0
2015-05-08,2116.10009765625
2015-05-11,2105.330078125
2015-05-12,2099.1201171875
2015-05-13,2098.47998046875
2015-05-14,2121.10009765625
2015-05-15,2122.72998046875
2015-05-18,2129.199951171875
2015-05-19,2127.830078125
2015-05-20,2125.85009765625
2015-05-21,2130.820068359375
2015-05-22,2126.06005859375
2015-05-26,2104.199951171875
2015-05-27,2123.47998046875
2015-05-28,2120.7900390625
2015-05-29,2107.389892578125
2015-06-01,2111.72998046875
2015-06-02,2109.60009765625
2015-06-03,2114.070068359375
2015-06-04,2095.840087890625
2015-06-05,2092.830078125
2015-06-08,2079.280029296875
2015-06-09,2080.14990234375
2015-06-10,2105.199951171875
2015-06-11,2108.860107421875
2015-06-12,2094.110107421875
2015-06-15,2084.429931640625
2015-06-16,2096.2900390625
2015-06-17,2100.43994140625
2015-06-18,2121.239990234375
2015-06-19,2109.989990234375
2015-06-22,2122.85009765625
2015-06-23,2124.199951171875
2015-06-24,2108.580078125
2015-06-25,2102.31005859375
2015-06-26,2101.489990234375
2015-06-29,2057.639892578125
2015-06-30,2063.110107421875
2015-07-01,2077.419921875
2015-07-02,2076.780029296875
2015-07-06,2068.760009765625
2015-07-07,2081.340087890625
2015-07-08,2046.6800537109375
2015-07-09,2051.31005859375
2015-07-10,2076.6201171875
2015-07-13,2099.60009765625
2015-07-14,2108.949951171875
2015-07-15,2107.39990234375
2015-07-16,2124.2900390625
2015-07-17,2126.639892578125
2015-07-20,2128.280029296875
2015-07-21,2119.2099609375
2015-07-22,2114.14990234375
2015-07-23,2102.14990234375
2015-07-24,2079.64990234375
2015-07-27,2067.639892578125
2015-07-28,2093.25
2015-07-29,2108.570068359375
2015-07-30,2108.6298828125
2015-07-31,2103.840087890625
2015-08-03,2098.0400390625
2015-08-04,2093.320068359375
2015-08-05,2099.840087890625
2015-08-06,2083.56005859375
2015-08-07,2077.570068359375
2015-08-10,2104.179931640625
2015-08-11,2084.070068359375
2015-08-12,2086.050048828125
2015-08-13,2083.389892578125
2015-08-14,2091.5400390625
2015-08-17,2102.43994140625
2015-08-18,2096.919921875
2015-08-19,2079.610107421875
2015-08-20,2035.72998046875
2015-08-21,1970.8900146484375
2015-08-24,1893.2099609375
2015-08-25,1867.6099853515625
2015-08-26,1940.510009765625
2015-08-27,1987.6600341796875
2015-08-28,1988.8699951171875
2015-08-31,1972.1800537109375
2015-09-01,1913.8499755859375
2015-09-02,1948.8599853515625
2015-09-03,1951.1300048828125
2015-09-04,1921.219970703125
2015-09-08,1969.4100341796875
2015-09-09,1942.0400390625
2015-09-10,1952.2900390625
2015-09-11,1961.050048828125
2015-09-14,1953.030029296875
2015-09-15,1978.0899658203125
2015-09-16,1995.31005859375
2015-09-17,1990.199951171875
2015-09-18,1958.030029296875
2015-09-21,1966.969970703125
2015-09-22,1942.739990234375
2015-09-23,1938.760009765625
2015-09-24,1932.239990234375
2015-09-25,1931.3399658203125
